team,adjustPoints,autoPoints,autoOwnershipPoints,autoRunPoints,autoScaleOwnershipSec,endgamePoints,foulPoints,teleopOwnershipPoints,teleopPoints,teleopScaleOwnershipSec,teleopSwitchOwnershipSec,vaultPoints,vaultLevitateTotal,vaultForceTotal,vaultBoostTotal,totalPoints,winningness
4829,7.8571105e-10,4.4229884,1.1638092,3.2591748,-0.11700406,5.496066,5.37562,16.463198,26.79345,8.438494,8.292254,4.834298,0.43465048,0.13991143,0.39230233,36.59354,-30.039175
4935,1.0955278e-09,12.084899,4.9621058,7.1227913,-0.117588066,9.590493,-2.4972246,77.69892,91.56368,0.66231686,73.019615,4.274341,0.6044342,0.14566028,0.104776956,101.15104,3.9752347
5160,1.0417543e-09,5.4385285,2.576585,2.8619704,-0.17207819,15.901419,11.970328,79.953964,111.22796,31.329779,42.6257,15.372879,1.2680377,0.728643,1.0779217,128.64082,29.804096
5518,-2.9949185e-10,4.9531317,2.0657532,2.8873816,0.30708066,5.8954897,0.6066468,65.254555,76.25801,24.017855,39.082012,5.107909,0.4102179,0.066646166,0.54471934,81.82416,21.630753
5544,-2.0921223e-09,9.767775,5.2124867,4.5552654,-0.032633726,2.4330513,-0.3945364,46.212704,49.137596,24.049553,22.225714,0.4913444,0.07465568,0.18087095,-0.15730791,58.5084,16.31138
5854,1.5846966e-09,1.7732465,1.5423414,0.23092674,1.1872417,-2.7609577,10.43849,36.38587,30.985714,6.3674445,31.982944,-2.6388278,-0.11486239,-0.18597375,-0.22688885,43.198376,2.2695792
6003,-1.1629248e-09,1.5433089,0.27888525,1.2644167,-0.09327164,15.232743,-0.8422696,0.10270212,28.912933,-12.897787,12.832036,13.577359,1.2593688,0.7557884,0.700305,29.615074,-29.225937
6004,-4.1073545e-10,3.5937696,0.5901379,3.0036275,-0.17624326,21.34508,1.8585832,36.228447,64.376724,17.353933,16.861654,6.803084,0.7447384,-0.04424281,0.66010743,69.78745,-20.441336
6214,1.961333e-09,1.623976,-2.1193454,3.7433507,-0.018114837,-3.0317001,10.690057,-17.058712,-19.403456,4.3278394,-19.99269,0.6873711,0.4322904,-0.023756167,-0.27102092,-7.0746045,-65.61477
6240,1.7188745e-10,5.3550854,1.1594545,4.1956306,0.2888937,9.813128,5.0207677,5.056413,15.999535,5.155246,4.138592,1.1300075,0.6429615,-0.21213669,-0.20482072,26.382294,-39.4372
6500,-1.2091306e-10,4.803415,2.0132725,2.7901273,-0.1168625,13.978598,-6.0613194,66.06881,87.04165,28.88993,34.675533,6.9941196,0.80264556,0.25517944,0.34098533,85.73685,6.3787136
6512,-5.987402e-11,2.8273675,0.15813477,2.669241,0.2662839,10.205051,9.231743,34.089214,54.467987,3.5640945,30.078829,10.173769,0.95315844,0.8442158,0.23738639,66.484406,-22.020506
6565,-2.2570865e-10,4.7748923,0.19881372,4.5760627,-0.035668414,5.998092,6.633947,28.37161,36.99078,-3.758846,32.28065,2.6209836,0.37612435,0.22333127,-0.07526932,48.3528,-12.566868
6729,-4.977953e-10,4.3985558,-0.21898505,4.6175146,0.3979636,15.919367,5.3907504,33.914257,58.23292,12.241491,18.624369,8.399104,1.0259129,0.1042429,0.5496459,68.030754,17.600315
6894,5.8555494e-10,-1.7120279,-0.99112153,-0.72089565,-0.04300182,14.145804,1.6877785,36.229507,61.55253,14.761147,22.559916,11.177466,1.4380865,0.41149324,0.38593528,61.525585,2.2010636
6899,-7.613169e-10,-0.59975064,0.38384596,-0.9836025,-0.35250056,3.3099196,14.549119,37.795208,40.064194,15.514255,22.648436,-1.0410699,0.22987354,-0.3065645,-0.13154095,54.02234,-4.1065993
6908,-1.1674098e-09,1.4553895,0.26114017,1.194242,0.37830153,11.373955,4.0826902,76.350655,94.506584,42.506733,31.801048,6.7816825,0.97839594,-0.09020718,0.4681178,100.0484,45.687546
7029,4.9781484e-11,11.341229,7.1403008,4.2009306,-0.23064463,-4.143119,5.23878,30.813877,23.782907,-5.2559023,36.573124,-2.887758,-0.6366216,-0.24861404,0.30769464,40.361996,0.29384747
7265,-1.3058622e-09,2.276098,-0.9115721,3.1876693,-0.3162736,6.133872,8.520076,-5.110537,4.9614167,-6.715278,0.46041134,3.9379644,0.43594095,0.13054469,0.2210969,15.76479,-15.08915
7270,-2.1018914e-10,2.70473,-1.3330925,4.0378304,-0.46983236,4.174081,19.928404,1.048786,8.901676,-8.70921,10.527239,3.6788657,0.10221622,0.9049956,-0.27144012,31.536886,-31.88842
